campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
Aimil Pharmaceuticals  ,3.6,"Delhi/NCR,New Delhi + 30 more",Delhi/NCR, 30,Private,90,501-1k Employees (India),,240,1.2k,2,9
Teva API ,3.9,Tel Aviv + 14 more,Tel, 14,Private,87,1k-5k Employees (India),,240,970,,3
Dharampal Premchand ,4.1,"Delhi/NCR,New Delhi + 41 more",Delhi/NCR, 41,Private,93,201-500 Employees (India),,240,848,5,5
Caparo Maruti ,3.9,"Gurgaon/Gurugram,Haryana + 10 more",Gurgaon/Gurugram, 10,JV,28,501-1k Employees (India),,736,939,,3
AccorHotels ,4.4,Paris + 30 more,Paris, 30,Private,55,1k-5k Employees (India),,642,955,,6
ITI ,3.8,"Bangalore/Bengaluru,Karnataka + 51 more",Bangalore/Bengaluru, 51,Private,74,501-1k Employees (India),,239,1.1k,,14
Dishnet Wireless ,4.3,"Delhi/NCR,New Delhi + 49 more",Delhi/NCR, 49,Public,24,1k-5k Employees (India),,239,366,,
Aarti Drugs ,3.9,Mumbai + 9 more,Mumbai, 9,Public,38,201-500 Employees (India),,239,1.2k,,9
CSC UK ,3.7,London + 21 more,London, 21,Private,63,,,239,201,,1
Cyfuture ,3.7,Noida + 22 more,Noida, 22,,21,1k-5k Employees (India),,239,1.6k,88,10
Indian Immunologicals ,4.2,"Hyderabad/Secunderabad,Telangana + 18 more",Hyderabad/Secunderabad, 18,Public,40,1k-5k Employees (India),,238,1.1k,2,4
MOURI Tech ,4,"Dallas,Texas + 6 more",Dallas, 6,Private,17,1k-5k Employees (India),,238,2.6k,95,20
Blackrock ,4.1,"New York City,New York + 8 more",New York City, 8,Private,18,1k-5k Employees (India),,238,2.4k,,33
North East Small Finance Bank ,4.2,"Guwahati,Assam + 45 more",Guwahati, 45,Private,6,1k-5k Employees (India),,237,1.1k,,8
Yusen Logistics ,4.1,Tokyo + 24 more,Tokyo, 24,Private,67,501-1k Employees (India),,237,1.1k,1,4
Wartsila ,4.6,Helsinki + 30 more,Helsinki, 30,Private,188,501-1k Employees (India),,237,613,1,3
Maharashtra Seamless ,3.6,"Gurgaon/Gurugram,Haryana + 12 more",Gurgaon/Gurugram, 12,Public,34,1k-5k Employees (India),,237,1.3k,,16
Metalman Auto ,4,"Gurgaon/Gurugram,Haryana + 17 more",Gurgaon/Gurugram, 17,Private,36,1k-5k Employees (India),,237,1.2k,2,6
R.S. Infraprojects ,4.1,"Noida,Uttar Pradesh + 30 more",Noida, 30,Private,17,501-1k Employees (India),,237,947,,5
Wipro GE Health Care ,4.2,Chicago + 28 more,Chicago, 28,,130,201-500 Employees (India),,237,1.4k,,7
Alankit ,2.9,"Delhi/NCR,New Delhi + 30 more",Delhi/NCR, 30,Public,31,1k-5k Employees (India),,237,1k,17,7
Boeing ,3.9,Chicago + 5 more,Chicago, 5,Public,106,5k-10k Employees (India),,254,3.5k,47,20
Birla Tyres ,3.5,"Kolkata,West Bengal + 59 more",Kolkata, 59,Private,31,1k-5k Employees (India),,236,698,,1
VKC Group ,3.7,"Calicut/Kozhikode,Kerala + 29 more",Calicut/Kozhikode, 29,Private,38,1k-5k Employees (India),,236,1.2k,,6
Amartex Industries ,4.5,Panchkula + 16 more,Panchkula, 16,Public,34,1k-5k Employees (India),,236,201,18,3
MeritNation ,3.5,"Delhi,NCT + 21 more",Delhi, 21,Private,34,51-200 Employees (India),,236,857,16,7
Mecon ,3.9,"Ranchi,Jharkhand + 29 more",Ranchi, 29,Private,63,1k-5k Employees (India),,236,1.2k,1,13
Integra Software Services ,3.9,Pondicherry + 6 more,Pondicherry, 6,Private,28,1k-5k Employees (India),,236,1.5k,8,8
Aker Solutions ,4,"Fornebu,Akershus + 4 more",Fornebu, 4,Private,181,1k-5k Employees (India),,236,1.5k,,9
Kelly Services ,4,"Troy,Michigan + 24 more",Troy, 24,Private,76,51-200 Employees (India),,236,1.1k,71,6
Tetra Pak ,4.2,Pully + 11 more,Pully, 11,Private,35,1k-5k Employees (India),,236,1.3k,31,11
Flowserve ,4.2,"Irving,Texas + 10 more",Irving, 10,Private,25,1k-5k Employees (India),,236,1.8k,13,6
Seoyon E-hwa Automotive ,3.9,Seoul + 12 more,Seoul, 12,Private,50,51-200 Employees (India),,236,1.4k,,2
GS Engineering & Construction  ,4.2,Seoul + 16 more,Seoul, 16,,53,201-500 Employees (India),,236,663,1,3
Enco Engineers Combine ,3.8,"Gurgaon/Gurugram,Haryana + 7 more",Gurgaon/Gurugram, 7,Private,39,51-200 Employees (India),,235,827,,6
Jyoti CNC Automation ,4.2,"Rajkot,Gujarat + 21 more",Rajkot, 21,Public,33,501-1k Employees (India),,235,868,5,5
Kerala State Electricity Board ,4.2,"Trivandrum/Thiruvananthapuram,Kerala + 21 more",Trivandrum/Thiruvananthapuram, 21,Private,65,10k-50k Employees (India),,235,1.1k,,5
Keysight Technologies ,4.2,"Santa Rosa,California + 7 more",Santa Rosa, 7,Private,8,1k-5k Employees (India),,235,1.5k,33,4
Cera Sanitaryware ,4.2,"London,England + 44 more",London, 44,Public,42,1k-5k Employees (India),,235,1.1k,,9
Texmaco Rail and Engineering ,3.9,"Kolkata,West Bengal + 26 more",Kolkata, 26,Private,24,1k-5k Employees (India),,235,1.1k,3,7
NR Switch N Radio Services ,4,"Kota,Rajasthan + 46 more",Kota, 46,Private,24,501-1k Employees (India),,235,774,4,4
Alpla ,4.2,"Hard,Vorarlberg + 9 more",Hard, 9,Private,67,501-1k Employees (India),,235,1.1k,21,8
Win Medicare ,4.1,"Delhi/NCR,Delhi + 41 more",Delhi/NCR, 41,Private,17,501-1k Employees (India),,235,694,1,5
Prem Henna ,3.7,Indore + 53 more,Indore, 53,Private,92,201-500 Employees (India),,235,847,4,4
Xdbs ,3.4,"Redwood City,San Francisco + 2 more",Redwood City, 2,Private,10,1k-5k Employees (India),,235,1.3k,18,16
Hsbc Technology ,4.1,London + 6 more,London, 6,Private,157,10k-50k Employees (India),,235,1.8k,,19
DFM Foods ,4.2,"Delhi/NCR,New Delhi + 45 more",Delhi/NCR, 45,Public,39,501-1k Employees (India),,235,1k,8,8
Mrs Bector's Food Specialities ,4.1,Gurgaon + 35 more,Gurgaon, 35,Public,44,1k-5k Employees (India),,234,866,1,6
Gulf Oil Lubricants ,4.2,"Mumbai,Maharashtra + 48 more",Mumbai, 48,Public,29,501-1k Employees (India),,234,1.1k,,11
OnProcess Technology ,3.9,"Ashland,Massachusetts",Ashland,#VALUE!,Private,24,501-1k Employees (India),,234,768,1,3
Five-star Business Finance ,4.4,"Chennai,Tamil Nadu + 99 more",Chennai, 99,Public,38,1k-5k Employees (India),,234,1.1k,2,3
Ceinsys Tech ,3.7,"Nagpur,Maharashtra + 31 more",Nagpur, 31,Public,24,501-1k Employees (India),,234,934,1,4
RR kabel ,4.2,"Mumbai,Maharashtra + 45 more",Mumbai, 45,Public,27,501-1k Employees (India),,234,1.3k,3,13
MN Dastur & Company ,3.5,"Kolkata,West Bengal + 12 more",Kolkata, 12,Private,67,1k-5k Employees (India),,234,700,1,4
Markets and Markets ,3.4,"Pune,Maharashtra + 3 more",Pune, 3,Private,12,501-1k Employees (India),,234,2k,25,10
BCD Travel ,4,"Utrecht,Utrecht + 10 more",Utrecht, 10,Private,16,1k-5k Employees (India),,234,1.3k,28,5
National Petroleum Construction Company ,4.1,Abu Dhabi + 19 more,Abu, 19,,49,501-1k Employees (India),,330,481,,6
GGS Information Services ,3.5,"York,Pennsylvania + 6 more",York, 6,Private,34,501-1k Employees (India),,233,1.6k,1,8
M3M India ,3.7,"Gurgaon,Haryana + 3 more",Gurgaon, 3,Private,37,201-500 Employees (India),,233,1.2k,4,11
Appsierra ,4.8,"Noida,Uttar Pradesh + 6 more",Noida, 6,Private,7,51-200 Employees (India),,233,109,168,1
Sheela Foam ,4.3,"Delhi/NCR,Delhi + 55 more",Delhi/NCR, 55,Public,51,1k-5k Employees (India),,233,821,2,10
All India Radio ,4.2,"Delhi/NCR,New Delhi + 68 more",Delhi/NCR, 68,Private,92,1k-5k Employees (India),,233,714,,4
South Indian Bank ,3.8,"Thrissur/Trichur,Kerala + 47 more",Thrissur/Trichur, 47,Public,93,1k-5k Employees (India),,233,1.8k,,47
Dana India ,4.1,"Pune,Maharashtra + 12 more",Pune, 12,Private,21,1k-5k Employees (India),,233,1.2k,,13
Katerra ,3.7,"Menlo Park,California + 11 more",Menlo Park, 11,Private,7,501-1k Employees (India),,233,1.7k,,11
Osource India ,3.4,"Noida,Uttar Pradesh + 18 more",Noida, 18,Private,18,201-500 Employees (India),,233,1.3k,27,1
Realty Assistant ,4.8,"Noida,Uttar Pradesh + 5 more",Noida, 5,Private,3,201-500 Employees (India),,233,78,,6
ELGI Equipments ,4,"Coimbatore,Tamil Nadu + 21 more",Coimbatore, 21,Public,62,1k-5k Employees (India),,250,1.2k,1,7
Galaxy Surfactants ,3.2,Mumbai + 8 more,Mumbai, 8,Public,42,1k-5k Employees (India),,232,927,5,10
VDA Infosolutions ,3.7,"Mumbai,Maharashtra + 21 more",Mumbai, 21,Private,12,201-500 Employees (India),,232,1.2k,6,2
FCm Travel Solutions ,3.7,Brisbane + 22 more,Brisbane, 22,Private,36,1k-5k Employees (India),,232,1.3k,,3
Serum Institute of India ,4.2,Pune + 14 more,Pune, 14,Private,56,1k-5k Employees (India),,232,1.4k,2,11
SunTec Web Services ,3.3,New Delhi + 3 more,New, 3,Private,23,1k-5k Employees (India),,232,1.2k,5,6
Licious ,4.1,"Bangalore,Karnataka + 21 more",Bangalore, 21,Private,7,1k-5k Employees (India),,232,1.2k,87,17
Insolutions Global ,3.8,Mumbai + 14 more,Mumbai, 14,Private,18,1k-5k Employees (India),,232,1.5k,21,12
Gammon Engineers And Contractors ,4,Mumbai + 31 more,Mumbai, 31,,100,201-500 Employees (India),,232,1.2k,,12
IMSI ,3.3,"Dehradun,Uttarakhand + 36 more",Dehradun, 36,Private,36,1k-5k Employees (India),,232,1.1k,1,7
Clarivate Analytics ,4,"Philadelphia,Pennsylvania + 9 more",Philadelphia, 9,Public,6,1k-5k Employees (India),,252,2.5k,47,20
Tata Marcopolo Motors ,3.6,"Pune,Maharashtra + 10 more",Pune, 10,Public,77,50k-1 Lakh Employees (India),,231,863,,10
Sotc Travel Services ,3.8,Mumbai + 32 more,Mumbai, 32,Private,73,1k-5k Employees (India),,231,1.1k,6,5
Dainik Jagran ,3.8,"Noida,Uttar Pradesh + 51 more",Noida, 51,Public,80,201-500 Employees (India),,231,1.1k,,1
Liberty General Insurance ,4.1,"Mumbai,Maharashtra + 58 more",Mumbai, 58,Private,9,1k-5k Employees (India),,231,1.2k,7,3
Dusters Total Solutions Services ,3.9,"Bangalore/Bengaluru,Karnataka + 35 more",Bangalore/Bengaluru, 35,Private,28,501-1k Employees (India),,231,995,3,2
SBI Mutual Fund ,4,"Mumbai,Maharashtra + 93 more",Mumbai, 93,Private,35,1k-5k Employees (India),,231,1.4k,20,8
Hanon Systems ,4,Daejeon + 11 more,Daejeon, 11,Private,36,501-1k Employees (India),,231,1.1k,2,4
Easyday Club ,4.4,"Mumbai,Maharashtra + 64 more",Mumbai, 64,,14,1-10 Employees (India),,231,837,,9
Ralson India ,3.8,"Delhi/NCR,Delhi + 33 more",Delhi/NCR, 33,Public,48,501-1k Employees (India),,230,957,2,11
India Glycols ,4,"Noida,Uttar Pradesh + 12 more",Noida, 12,Public,39,1k-5k Employees (India),,230,1.1k,,5
Cotiviti ,4.1,South Jordan,South,#VALUE!,Private,43,1k-5k Employees (India),,230,1.9k,78,21
Methodex ,3.5,"Delhi/NCR,Delhi + 41 more",Delhi/NCR, 41,Private,62,1k-5k Employees (India),,230,987,5,4
P&O Cruises ,4.5,Southampton + 7 more,Southampton, 7,Private,185,11-50 Employees (India),,230,344,,3
Jetking Infotrain ,3.8,"Mumbai,Maharashtra + 47 more",Mumbai, 47,Public,75,51-200 Employees (India),,230,711,2,3
Axiscades ,3.3,"Bangalore/Bengaluru,Karnataka + 7 more",Bangalore/Bengaluru, 7,Public,32,1k-5k Employees (India),,230,2k,1,14
smartData Enterprises ,3.7,White Plains + 6 more,White, 6,Private,23,501-1k Employees (India),,230,1.4k,56,8
Venkateshwara Hatcheries ,3.7,"Pune,Maharashtra + 29 more",Pune, 29,Private,51,201-500 Employees (India),,230,1k,,3
TVS Eurogrip ,3.6,Madurai + 34 more,Madurai, 34,Public,40,1k-5k Employees (India),,230,1.2k,8,9
Merck ,4.1,"Rahway,New Jersey + 34 more",Rahway, 34,Private,131,1k-5k Employees (India),,496,1.3k,131,1
Fluper ,4,"Noida,Uttar Pradesh + 2 more",Noida, 2,Public,9,201-500 Employees (India),,229,367,17,10
Veritas Finance ,4.3,"Chennai,Tamil Nadu + 91 more",Chennai, 91,Private,7,1k-5k Employees (India),,229,1.1k,,3
GMR Hyderabad International Airport ,4,"Delhi/NCR,Delhi + 10 more",Delhi/NCR, 10,Private,22,201-500 Employees (India),,229,782,,9
Rosmerta Technologies ,3.1,Gurgaon + 46 more,Gurgaon, 46,Private,16,1k-5k Employees (India),,229,1k,9,12
Ventura Securities ,4,Thane + 36 more,Thane, 36,Public,28,1k-5k Employees (India),,229,1.1k,16,5
Kolte Patil Developers ,4.2,"Pune,Maharashtra + 5 more",Pune, 5,Public,31,1k-5k Employees (India),,229,1.2k,5,8
Hafele ,4.2,Nagold + 28 more,Nagold, 28,Private,99,1k-5k Employees (India),,229,1.2k,1,9
Sheenlac Paints ,3.5,"Chennai,Tamil Nadu + 31 more",Chennai, 31,Public,60,501-1k Employees (India),,229,889,,4
Sapphire Foods India ,3.9,"Mumbai,Maharashtra + 32 more",Mumbai, 32,Private,7,5k-10k Employees (India),,229,920,27,7
Allcargo Logistics ,4.1,"Mumbai,Maharashtra + 32 more",Mumbai, 32,Public,29,1k-5k Employees (India),,229,1.1k,2,6
National Contracting Company ,4.2,Al-Khobar + 17 more,Al-Khobar, 17,Private,55,501-1k Employees (India),,229,576,,3
Virtual Employee ,3.7,"Noida,Uttar Pradesh + 9 more",Noida, 9,Private,15,1k-5k Employees (India),,229,2k,7,22
Honeywell International India ,3.9,Charlotte + 16 more,Charlotte, 16,,116,10k-50k Employees (India),,2.2k,1.6k,,10
Eisai Pharmaceuticals ,4.4,"Tokyo,Tokyo-to + 11 more",Tokyo, 11,Public,18,201-500 Employees (India),,228,851,5,7
Suroj Buildcon ,4.1,"Pune,Maharashtra + 21 more",Pune, 21,Private,9,1k-5k Employees (India),,228,957,1,4
Ramco Industries ,4.3,"Chennai,Tamil Nadu + 38 more",Chennai, 38,Public,30,1k-5k Employees (India),,228,1.1k,1,4
Navin Fluorine International ,3.9,"Mumbai,Maharashtra + 8 more",Mumbai, 8,Public,55,501-1k Employees (India),,228,1.4k,1,11
eTeam ,3.5,"South Plainfield,New Jersey + 13 more",South Plainfield, 13,Private,23,501-1k Employees (India),,228,1.8k,77,12
Anthem Biosciences ,4.1,"Bangalore/Bengaluru,Karnataka + 7 more",Bangalore/Bengaluru, 7,Private,16,1k-5k Employees (India),,228,1.6k,9,10
Deenanath Mangeshkar Hospital ,4.3,"Pune,Maharashtra + 7 more",Pune, 7,Private,21,11-50 Employees (India),,228,638,,7
Unitech ,4.1,"Gurgaon/Gurugram,Haryana + 19 more",Gurgaon/Gurugram, 19,Public,51,1k-5k Employees (India),,228,867,,
Shriram Group ,4.1,"Chennai,Tamil Nadu + 99 more",Chennai, 99,Private,48,50k-1 Lakh Employees (India),,7k,1k,,3
Ingersoll Rand ,4.3,"Dublin,Dublin + 20 more",Dublin, 20,Public,50,1k-5k Employees (India),,257,1.3k,23,6
Apex Laboratories ,4.2,Chennai + 37 more,Chennai, 37,Private,44,1k-5k Employees (India),,227,1.1k,6,8
Kalyani Technoforge ,4.1,"Pune,Maharashtra + 9 more",Pune, 9,Private,43,201-500 Employees (India),,227,1.1k,2,4
Caratlane Trading ,4.4,"Chennai,Tamil Nadu + 21 more",Chennai, 21,Private,14,1k-5k Employees (India),,227,1.1k,28,11
Senco Gold ,4.1,"Kolkata,West Bengal + 45 more",Kolkata, 45,Private,28,1k-5k Employees (India),,227,885,2,6
Groupon ,3.7,"Chicago,Illinois + 7 more",Chicago, 7,Private,14,1k-5k Employees (India),,227,1.6k,30,17
Kyungshin Industrial Motherson ,3.5,Chennai + 6 more,Chennai, 6,,25,201-500 Employees (India),,227,1.6k,,5
Dineshchandra R Agarwal Infracon ,4,"Ahmedabad,Gujarat + 36 more",Ahmedabad, 36,Private,50,1k-5k Employees (India),,227,972,3,7
Techno Electric & Engineering Company ,4,"Kolkata,West Bengal + 37 more",Kolkata, 37,Public,59,201-500 Employees (India),,227,820,6,7
MSD Pharmaceuticals ,3.9,"Gurgaon/Gurugram,Haryana + 41 more",Gurgaon/Gurugram, 41,Private,57,1k-5k Employees (India),,227,819,41,3
Hero Cycles ,3.7,"Gurgaon/Gurugram,Haryana + 32 more",Gurgaon/Gurugram, 32,Public,66,1k-5k Employees (India),,227,1.3k,5,16
NKG Infrastructure ,3.8,"Delhi/NCR,Delhi + 29 more",Delhi/NCR, 29,Private,33,1k-5k Employees (India),,227,928,,6
360 Realtors ,3.8,"Gurgaon/Gurugram,Haryana + 21 more",Gurgaon/Gurugram, 21,LLP,8,501-1k Employees (India),,227,1.1k,14,14
Toyoda Gosei Minda ,4.1,Aichi + 13 more,Aichi, 13,Private,14,51-200 Employees (India),,227,855,,6
Agro Tech Foods ,4.3,"Gurgaon/Gurugram,Haryana + 39 more",Gurgaon/Gurugram, 39,Public,36,501-1k Employees (India),,257,719,1,6
Magic Bus India Foundation ,4,"Mumbai,Maharashtra + 37 more",Mumbai, 37,Private,23,1k-5k Employees (India),,226,772,46,10
Pranav Vikas India ,3.7,"Delhi/NCR,Delhi + 7 more",Delhi/NCR, 7,,35,201-500 Employees (India),,226,932,1,11
Cadbury ,4.5,London + 55 more,London, 55,Private,198,1k-5k Employees (India),,226,584,,10
Celebi NAS Airport Services India ,4.3,"Mumbai,Maharashtra + 7 more",Mumbai, 7,Private,14,201-500 Employees (India),,226,511,5,3
Syneos Health ,4.2,"Morrisville,North Carolina + 5 more",Morrisville, 5,Private,38,1k-5k Employees (India),,226,1.5k,7,13
Welspun Corp ,3.9,Mumbai + 15 more,Mumbai, 15,,37,5k-10k Employees (India),,226,1.1k,,6
Netafim Irrigation India ,4.2,"Vadodara/Baroda,Gujarat + 46 more",Vadodara/Baroda, 46,Private,57,1k-5k Employees (India),,264,764,,4
Chambal Fertilisers And Chemicals ,4,"Kota,Rajasthan + 36 more",Kota, 36,Public,37,1k-5k Employees (India),,225,949,1,4
Schwing Stetter ,4.1,Herne + 33 more,Herne, 33,Private,77,1k-5k Employees (India),,225,1.1k,1,5
Yardi Systems ,4.1,Santa Barbara + 1 more,Santa, 1,Private,38,1k-5k Employees (India),,225,1.6k,,13
Uplers ,4.5,"Ahmedabad,Gujarat + 5 more",Ahmedabad, 5,Private,10,1k-5k Employees (India),,225,593,190,18
Sahyadri Hospital ,4.2,"Pune,Maharashtra + 3 more",Pune, 3,Private,28,1k-5k Employees (India),,224,852,11,5
Kuehne + Nagel ,4.2,"Schindellegi,Feusisberg + 26 more",Schindellegi, 26,Private,132,1k-5k Employees (India),,224,984,2,7
Mitsuba Sical ,3.7,Michigan + 14 more,Michigan, 14,Public,25,201-500 Employees (India),,224,895,,11
Pratibha Industries ,4.2,"Mumbai,Maharashtra + 18 more",Mumbai, 18,Public,40,501-1k Employees (India),,224,425,,1
Angelique International ,4.4,"Delhi/NCR,New Delhi + 12 more",Delhi/NCR, 12,Private,26,501-1k Employees (India),,224,863,4,5
Zolo ,3.6,Bangalore + 15 more,Bangalore, 15,Private,7,501-1k Employees (India),,224,1.3k,188,9
Yum! ,4.1,"Colonel Sanders Lane,Louisville + 25 more",Colonel Sanders Lane, 25,Private,25,501-1k Employees (India),,1.8k,612,4,1
HSBC Global Services ,4.1,London + 10 more,London, 10,Private,157,10k-50k Employees (India),,223,1.6k,,10
Vertiv Energy ,4.1,"Columbus,Ohio + 27 more",Columbus, 27,Private,29,1k-5k Employees (India),,223,1.4k,7,9
Family Health Plan ,4.1,"Hyderabad/Secunderabad,Telangana + 20 more",Hyderabad/Secunderabad, 20,Private,27,1k-5k Employees (India),,223,949,8,10
DEN Networks ,3.8,"Delhi,NCT + 26 more",Delhi, 26,Public,15,1k-5k Employees (India),,223,1k,,3
Infiniti Research ,3.8,London + 1 more,London, 1,Private,19,501-1k Employees (India),,223,1.2k,46,13
Henry Harvin Education ,4.7,"Noida,Uttar Pradesh + 7 more",Noida, 7,,7,51-200 Employees (India),,223,169,34,1
Subex ,3.5,"Bangalore/Bengaluru,Karnataka + 4 more",Bangalore/Bengaluru, 4,Public,30,501-1k Employees (India),,223,2.1k,18,10
FabHotels ,3.4,"Gurgaon,Haryana + 25 more",Gurgaon, 25,Private,8,501-1k Employees (India),,223,1.3k,132,11
TCG Lifesciences ,4,"Kolkata,West Bengal + 6 more",Kolkata, 6,Public,21,1k-5k Employees (India),,223,832,1,4
Brigade Group ,4.2,"Bangalore/Bengaluru,Karnataka + 6 more",Bangalore/Bengaluru, 6,Public,36,1k-5k Employees (India),,223,1.2k,39,6
Bharat Bijlee ,4.1,"Mumbai,Maharashtra + 16 more",Mumbai, 16,Public,76,501-1k Employees (India),,223,987,2,5
BPTP ,4.1,"Gurgaon/Gurugram,Haryana + 5 more",Gurgaon/Gurugram, 5,Private,19,501-1k Employees (India),,223,728,5,6
Quintessence Business Solutions & Services ,4.1,"Dallas,Texas",Dallas,#VALUE!,Private,11,501-1k Employees (India),,223,559,37,
Hindustan Times ,3.8,"Delhi/NCR,Delhi + 37 more",Delhi/NCR, 37,Private,98,1k-5k Employees (India),,938,1.3k,33,7
SUEZ Environnement ,4.1,"Paris,Ile De France + 28 more",Paris, 28,Private,25,1k-5k Employees (India),,427,1.2k,21,3
NICE ,4,"Pune,Maharashtra + 11 more",Pune, 11,Public,36,1k-5k Employees (India),,255,2.2k,34,20
Jumio ,4.1,"Palo Alto,California + 4 more",Palo Alto, 4,Private,12,201-500 Employees (India),,222,783,12,
Rackspace ,4.1,"San Antonio,Texas + 8 more",San Antonio, 8,Private,24,1k-5k Employees (India),,222,2.1k,192,30
Roca Bathroom Products ,4,Municipality Of GavÃ + 38 more,Municipality, 38,Private,16,1k-5k Employees (India),,222,909,,6
BKT Tyres ,4.2,Mumbai + 16 more,Mumbai, 16,Private,34,5k-10k Employees (India),,222,1.3k,,30
Country Inns & Suites ,3.9,"Minnetonka,Minnesota + 23 more",Minnetonka, 23,Private,37,11-50 Employees (India),,222,638,,2
ASM Technologies ,3.5,"Bangalore/Bengaluru,Karnataka + 15 more",Bangalore/Bengaluru, 15,Public,30,501-1k Employees (India),,222,2k,10,18
Wissen Infotech ,4.3,"Hyderabad/Secunderabad,Telangana + 7 more",Hyderabad/Secunderabad, 7,Private,22,1k-5k Employees (India),,352,1.6k,65,18
Eli Lilly and Company ,4.4,"Indianapolis,Indiana + 19 more",Indianapolis, 19,Public,29,1k-5k Employees (India),,222,1.6k,48,12
Satyam Venture Engineering Services ,3.2,"Hyderabad/Secunderabad,Telangana + 5 more",Hyderabad/Secunderabad, 5,Private,22,501-1k Employees (India),,221,1.8k,62,6
Pathkind Diagnostics Private Limited ,4.1,"Gurgaon/Gurugram,Haryana + 57 more",Gurgaon/Gurugram, 57,Private,6,501-1k Employees (India),,221,1k,2,20
Coffee Day ,3.5,"Bangalore/Bengaluru,Karnataka + 34 more",Bangalore/Bengaluru, 34,Private,29,1k-5k Employees (India),,221,1.1k,,9
PC Solutions ,3.8,"Delhi/NCR,Delhi + 13 more",Delhi/NCR, 13,Private,34,201-500 Employees (India),,221,955,19,5
MetroTelworks ,3.8,Ahmedabad + 29 more,Ahmedabad, 29,Private,18,51-200 Employees (India),,221,879,,7
Bharat Oman Refineries ,3.6,"Bina,Madhya Pradesh + 17 more",Bina, 17,Public,11,501-1k Employees (India),,221,990,,7
Amazon Web Services ,4.2,"Seattle,Washington + 23 more",Seattle, 23,Public,16,10k-50k Employees (India),,221,2.5k,6,72
Narayana e-Techno School ,3.8,Hyderabad + 32 more,Hyderabad, 32,Private,10,501-1k Employees (India),,220,1k,,4
XL Health ,4.4,"Bangalore/Bengaluru,Karnataka + 1 more",Bangalore/Bengaluru, 1,Private,25,11-50 Employees (India),,220,1k,,9
Me n Moms ,3.1,"Mumbai,Maharashtra + 35 more",Mumbai, 35,Private,28,201-500 Employees (India),,220,864,1,8
Omkar Realtors and Developers Group ,4.3,Mumbai + 8 more,Mumbai, 8,Private,19,201-500 Employees (India),,220,655,,3
Uniparts Group ,4,"Noida,Uttar Pradesh + 15 more",Noida, 15,Private,38,501-1k Employees (India),,220,1.1k,7,4
Kores ,4,"Mumbai,Maharashtra + 26 more",Mumbai, 26,Private,86,1k-5k Employees (India),,220,1k,11,7
Housejoy ,4.5,"Bangalore,Karnataka + 17 more",Bangalore, 17,Private,8,201-500 Employees (India),,220,470,33,2
"Varroc Engineering Limited, VEL-PN ",3.9,Aurangabad + 13 more,Aurangabad, 13,,32,1k-5k Employees (India),,220,1k,13,13
ITC Limited Foods Division ,4.1,Kolkata + 36 more,Kolkata, 36,,112,10k-50k Employees (India),,220,845,,15
Guidehouse ,4.2,"Trivandrum/Thiruvananthapuram,Kerala + 4 more",Trivandrum/Thiruvananthapuram, 4,Private,19,1k-5k Employees (India),,220,1.5k,108,11
Spark Minda ,3.8,Gurgaon + 23 more,Gurgaon, 23,Public,64,10k-50k Employees (India),,824,1.3k,,16
India Nippon Electricals ,4.1,"Hosur,Tamil Nadu + 15 more",Hosur, 15,Public,38,501-1k Employees (India),,219,951,,8
Citylife Retail ,3.8,"Kolkata,West Bengal + 48 more",Kolkata, 48,Private,16,51-200 Employees (India),,219,642,,2
Maxxis Rubber ,3.4,"Ahmedabad,Gujarat + 11 more",Ahmedabad, 11,Private,7,51-200 Employees (India),,219,1.4k,1,14
Collegedunia ,3.3,"Gurgaon/Gurugram,Haryana + 13 more",Gurgaon/Gurugram, 13,Private,8,1k-5k Employees (India),,219,1.4k,369,23
Mastek ,4.1,"Mumbai,Maharashtra + 8 more",Mumbai, 8,Public,40,1k-5k Employees (India),,219,2.6k,25,17
ReGen Powertech ,3.8,"Chennai,Tamil Nadu + 18 more",Chennai, 18,Private,16,501-1k Employees (India),,219,532,,4
Amrit Cement ,4,"Kolkata,West Bengal + 14 more",Kolkata, 14,Private,14,501-1k Employees (India),,218,756,10,12
Nature's Basket ,4,"Mumbai,Maharashtra + 8 more",Mumbai, 8,Private,17,501-1k Employees (India),,218,766,4,6
Lotte India Corporation ,3.9,"Chennai,Tamil Nadu + 48 more",Chennai, 48,Public,18,501-1k Employees (India),,218,888,,7
Ircon International ,4.1,"Delhi/NCR,Delhi + 35 more",Delhi/NCR, 35,Private,46,1k-5k Employees (India),,218,650,,12
Cooper Corporation ,3.5,"Pune,Maharashtra + 4 more",Pune, 4,Private,100,1k-5k Employees (India),,218,945,1,7
Samsonite ,4.2,"Mumbai,Maharashtra + 38 more",Mumbai, 38,Private,112,201-500 Employees (India),,218,925,,2
Symbiotec Pharmalab ,3.8,"Indore,Madhya Pradesh + 5 more",Indore, 5,Private,28,51-200 Employees (India),,218,1.1k,,9
NetAmbit ,3.7,"Noida,Uttar Pradesh + 41 more",Noida, 41,Private,22,501-1k Employees (India),,218,1.2k,11,17
Einfochips ,3.6,"San Jose,California + 3 more",San Jose, 3,Private,28,1k-5k Employees (India),,218,1.9k,29,16
Ashiana Housing ,4.2,"Delhi/NCR,Delhi + 15 more",Delhi/NCR, 15,Public,43,1k-5k Employees (India),,218,827,31,11
