campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
Startek ,3.4,"Mumbai,Maharashtra + 50 more",Mumbai, 50,Public,5,5k-10k Employees (India),,4.7k,16.1k,70,148
Mphasis ,3.8,"Bangalore/Bengaluru,Karnataka + 41 more",Bangalore/Bengaluru, 41,Public,24,10k-50k Employees (India),,4.6k,42.2k,193,285
Sutherland Global Services ,3.9,"Pittsford,New York + 41 more",Pittsford, 41,Private,36,10k-50k Employees (India),,5k,19.9k,340,197
Jana Small Finance Bank ,3.9,"Bangalore/Bengaluru,Karnataka + 306 more",Bangalore/Bengaluru, 306,Public,16,10k-50k Employees (India),,4.5k,17.3k,52,117
Cipla Pharmaceutical ,4.1,"Mumbai,Maharashtra + 185 more",Mumbai, 185,Public,87,10k-50k Employees (India),,4.7k,20.1k,20,220
Yes Bank ,4,"Mumbai,Maharashtra + 355 more",Mumbai, 355,Public,18,10k-50k Employees (India),,4.4k,36.8k,38,179
ICICI Prudential Life Insurance ,4.1,"Mumbai,Maharashtra + 399 more",Mumbai, 399,Public,22,10k-50k Employees (India),,4.4k,22.7k,149,170
Asian Paints ,4.3,"Mumbai,Maharashtra + 335 more",Mumbai, 335,Public,80,10k-50k Employees (India),,4.6k,17.6k,102,248
NTT DATA ,4,"Chiyoda City,Tokyo + 39 more",Chiyoda City, 39,Private,34,10k-50k Employees (India),,4.5k,41.3k,257,256
Udaan ,4.2,"Bangalore,Karnataka + 295 more",Bangalore, 295,Private,6,1k-5k Employees (India),,4.1k,20.5k,286,195
Indian Army ,4.7,"New Delhi,Delhi + 265 more",New Delhi, 265,Public,127,1 Lakh+ Employees (India),,4.1k,11k,,65
HDFC Life ,4,"Mumbai,Maharashtra + 399 more",Mumbai, 399,Public,22,10k-50k Employees (India),,5.4k,25.3k,114,176
EXL Service ,3.9,"New York City,New York + 30 more",New York City, 30,Private,23,10k-50k Employees (India),,5.1k,24.3k,147,239
Home Credit Finance ,4.2,Gurugram + 102 more,Gurugram, 102,Private,10,5k-10k Employees (India),,3.9k,10.9k,47,64
L&T Infotech ,3.9,"Mumbai,Maharashtra + 78 more",Mumbai, 78,Public,26,10k-50k Employees (India),,3.8k,53.6k,92,277
PwC ,3.8,London + 60 more,London, 60,Partnership,24,10k-50k Employees (India),,3.8k,47.2k,895,384
Lupin ,4.1,"Mumbai,Maharashtra + 120 more",Mumbai, 120,Public,54,10k-50k Employees (India),,3.8k,18.4k,10,148
 Bajaj Finance ,4.2,"Pune,Maharashtra + 598 more",Pune, 598,Private,35,10k-50k Employees (India),,4.2k,20.8k,56,125
UltraTech Cement ,4.3,"Mumbai,Maharashtra + 330 more",Mumbai, 330,Public,39,10k-50k Employees (India),,4.3k,17.1k,8,177
Hindustan Unilever  ,4.3,"Mumbai,Maharashtra + 349 more",Mumbai, 349,Public,89,10k-50k Employees (India),,4.3k,18.3k,6,137
