Company Name,Rating,Locations,Headquarter,Number of locations,Public or private,How long since founded,Number of employees,Number of reviews,Amount of salaries,Number of jobs,Number of interviews,Country,Continent
Nature's Basket ,4,"Mumbai,Maharashtra + 8 more",Mumbai,9,Private,17,501-1k Employees (India),218000,766000,4,6,India,Asia
Lotte India Corporation ,3.9,"Chennai,Tamil Nadu + 48 more",Chennai,49,Public,18,501-1k Employees (India),218000,888000,0,7,India,Asia
Cooper Corporation ,3.5,"Pune,Maharashtra + 4 more",Pune,5,Private,100,1k-5k Employees (India),218000,945000,1,7,India,Asia
Samsonite ,4.2,"Mumbai,Maharashtra + 38 more",Mumbai,39,Private,112,201-500 Employees (India),218000,925000,0,2,India,Asia
Symbiotec Pharmalab ,3.8,"Indore,Madhya Pradesh + 5 more",Indore,6,Private,28,51-200 Employees (India),218000,1100,0,9,India,Asia
Einfochips ,3.6,"San Jose,California + 3 more",San Jose,4,Private,28,1k-5k Employees (India),218000,1900,29,16,United States of America,Americas
TI Cycles of India ,4.3,"Chennai,Tamil Nadu + 23 more",Chennai,24,Public,73,1k-5k Employees (India),217000,679000,0,4,India,Asia
Harsha Engineers ,4.1,"Ahmedabad,Gujarat + 7 more",Ahmedabad,8,Private,36,501-1k Employees (India),217000,1200,0,13,India,Asia
Zoomcar ,3.8,"Bangalore,Karnataka + 29 more",Bangalore,30,Private,10,1k-5k Employees (India),217000,1100,81,3,India,Asia
Teradata ,4.1,"San Diego,California + 7 more",San Diego,8,Private,43,1k-5k Employees (India),217000,2800,30,22,United States of America,Americas
Worldline Global Services ,3.9,"Bezons,Val Doise + 21 more",Bezons,22,Private,48,1k-5k Employees (India),217000,1900,35,7,France,Europe
Aculife Healthcare ,3.7,"Ahmedabad,Gujrat + 19 more",Ahmedabad,20,Private,8,1k-5k Employees (India),216000,972000,4,16,India,Asia
Tata Toyo Radiator ,3.4,"Pune,Maharashtra + 8 more",Pune,9,,24,201-500 Employees (India),216000,890000,0,6,India,Asia
Rolta India ,3,"Mumbai,Maharashtra + 11 more",Mumbai,12,Public,33,501-1k Employees (India),216000,942000,0,1,India,Asia
Becton Dickinson ,4.2,"Franklin Lakes,New Jersey + 21 more",Franklin Lakes,22,,21,1k-5k Employees (India),227000,1500,18,10,United States of America,Americas
Hinduja Housing Finance ,4.1,"Chennai,Tamil Nadu + 76 more",Chennai,77,Private,7,1k-5k Employees (India),215000,1200,0,11,India,Asia
Tsys Card Tech Services ,4.3,"Columbus,Georgia + 2 more",Columbus,3,,38,1k-5k Employees (India),215000,2200,103,18,United States of America,Americas
Reliance Fresh ,4.5,Mumbai + 50 more,Mumbai,50,Private,16,1k-5k Employees (India),215000,665000,0,10,India,Asia
Indostar Capital Finance ,4.1,"Mumbai,Maharashtra + 100 more",Mumbai,101,Public,11,501-1k Employees (India),215000,1400,1,5,India,Asia
M*Modal ,3.1,"Franklin,Tennesse + 8 more",Franklin,9,Private,21,1k-5k Employees (India),215000,668000,0,1,United States of America,Americas
URC Construction ,3.7,"Chennai,Tamil Nadu + 21 more",Chennai,22,Private,66,201-500 Employees (India),215000,1300,1,18,India,Asia
Syrma Technology ,4.1,"Chennai,Tamil Nadu + 8 more",Chennai,9,Private,18,201-500 Employees (India),215000,1200,1,3,India,Asia
Tirumala Milk Products ,4.1,"Chennai,Tamil Nadu + 30 more",Chennai,31,Private,26,201-500 Employees (India),215000,771000,28,8,India,Asia
Runwal Group ,4,"Mumbai,Maharashtra + 5 more",Mumbai,6,,44,201-500 Employees (India),215000,1400,1,6,India,Asia
PayU Payments ,4.2,Amsterdam + 11 more,Amsterdam,11,Private,20,1k-5k Employees (India),218000,1600,201,11,Netherlands,Europe
Ashapura Group Of Industries ,4,"Mumbai,Maharashtra + 26 more",Mumbai,27,Public,62,201-500 Employees (India),214000,1000,0,6,India,Asia
CSG International ,4.3,"Englewood,Colorado + 2 more",Englewood,3,Private,28,1k-5k Employees (India),214000,2200,11,8,United States of America,Americas
Star Bazaar ,4.3,"Mumbai,Maharashtra + 18 more",Mumbai,19,Private,24,1k-5k Employees (India),214000,670000,2,6,India,Asia
Teamware Solutions ,4.1,"Chennai,Tamil Nadu + 9 more",Chennai,10,Private,19,501-1k Employees (India),214000,1700,103,14,India,Asia
Securitas ,4.2,Stockholm + 23 more,Stockholm,23,Private,88,10k-50k Employees (India),214000,996000,3,11,Sweden,Europe
L&T Valves ,3.8,"Chennai,Tamil Nadu + 9 more",Chennai,10,Private,61,501-1k Employees (India),214000,1300,0,3,India,Asia
Tata BlueScope Steel ,3.7,"Pune,Maharashtra + 21 more",Pune,22,Private,20,501-1k Employees (India),214000,770000,6,9,India,Asia
El Seif Engineering Contracting ,4.3,Riyadh + 14 more,Riyadh,14,Private,47,51-200 Employees (India),213000,211000,0,3,Saudi Arabia,Asia
Henkel Adhesives Technologies ,4.3,"Düsseldorf,North Rhine-Westphalia + 17 more",Düsseldorf,18,Private,32,501-1k Employees (India),213000,1100,5,3,Germany,Europe
Indo Farm Equipment ,3.4,"Solan,Madhya Pradesh + 28 more",Solan,29,Private,28,501-1k Employees (India),213000,796000,0,4,India,Asia
Agilent Technologies ,4.2,"Santa Clara,California + 13 more",Santa Clara,14,Private,23,1k-5k Employees (India),229000,1600,38,9,Cuba,Americas
Conviction HR ,4.7,Mumbai + 8 more,Mumbai,8,Private,10,501-1k Employees (India),212000,98000,6,4,India,Asia
NeoGrowth Credit ,3.9,"Mumbai,Maharashtra + 24 more",Mumbai,25,Private,9,501-1k Employees (India),212000,1200,1,4,India,Asia
JNS Instruments ,3.8,Gurgaon + 12 more,Gurgaon,12,Public,21,501-1k Employees (India),212000,1200,0,9,India,Asia
Waaree Energies ,3.5,"Mumbai,Maharashtra + 23 more",Mumbai,24,Private,33,51-200 Employees (India),212000,1000,8,12,India,Asia
Mahindra Insurance Brokers ,4.1,Mumbai + 65 more,Mumbai,65,Private,18,1k-5k Employees (India),212000,837000,0,2,India,Asia
S. M. Auto Engineering ,3.5,"Pune,Maharashtra + 4 more",Pune,5,Private,46,501-1k Employees (India),211000,1000,0,6,India,Asia
SG Analytics ,3.8,Pune + 2 more,Pune,2,Private,16,1k-5k Employees (India),211000,1400,50,26,India,Asia
IOT Infrastructure & Energy ,4.3,"Mumbai,Maharashtra + 24 more",Mumbai,25,Private,26,1k-5k Employees (India),211000,930000,0,2,India,Asia
ADNOC ,4.6,"Abu Dhabi,Abu Dhabi + 6 more",Abu Dhabi,7,Private,51,1k-5k Employees (India),211000,677000,0,6,United Arab Emirates,Asia
Solara Active Pharma Sciences ,3.7,"Chennai,Tamil Nadu + 11 more",Chennai,12,Public,4,1k-5k Employees (India),211000,1700,0,13,India,Asia
Consulting Engineers Group ,4.3,"Jaipur,Rajasthan + 38 more",Jaipur,39,Public,38,501-1k Employees (India),210000,827000,3,8,India,Asia
Aurionpro Solutions ,4.1,"Mumbai,Maharashtra + 26 more",Mumbai,27,Public,25,1k-5k Employees (India),210000,1600,5,7,India,Asia
Novateur Electrical & Digital Systems ,3.9,Chennai + 51 more,Chennai,51,Private,38,501-1k Employees (India),210000,844000,9,3,India,Asia
Reliance Jewels ,4.3,"Mumbai,Maharashtra + 65 more",Mumbai,66,Private,15,201-500 Employees (India),210000,726000,0,7,India,Asia
Accelya Solutions India Limited ,3.6,"Mumbai,Maharashtra + 6 more",Mumbai,7,Private,36,1k-5k Employees (India),210000,1600,16,6,India,Asia
METRO Global Business Services ,4.2,Pune + 1 more,Pune,1,Public,11,201-500 Employees (India),210000,921000,0,5,India,Asia
HungerBox ,4,"Bangalore,Karnataka + 14 more",Bangalore,15,Private,6,501-1k Employees (India),210000,874000,5,5,India,Asia
ManipalCigna Health Insurance ,4,"Mumbai,Maharashtra + 64 more",Mumbai,65,JV,10,1k-5k Employees (India),210000,1600,3,10,India,Asia
Kiya.ai ,3.3,"Mumbai,Maharashtra + 5 more",Mumbai,6,,27,201-500 Employees (India),210000,2400,22,15,India,Asia
Hitachi Hi-Rel Power Electronics ,3.8,"Ahmedabad,Gujarat + 23 more",Ahmedabad,24,Private,39,501-1k Employees (India),209000,1200,0,7,India,Asia
Gujarat Ambuja Exports ,3.8,"Ahmedabad,Gujarat + 24 more",Ahmedabad,25,Public,31,1k-5k Employees (India),209000,872000,1,8,India,Asia
Nestaway ,3.8,"Bangalore,Karnataka + 12 more",Bangalore,13,Private,7,201-500 Employees (India),209000,1500,0,5,India,Asia
Naaptol Online Shopping ,3.2,"Mumbai,Maharashtra + 21 more",Mumbai,22,Private,14,51-200 Employees (India),209000,741000,9,8,India,Asia
Parksons Packaging ,4.1,"Mumbai,Maharashtra + 16 more",Mumbai,17,Private,26,501-1k Employees (India),209000,816000,7,7,India,Asia
KLAY Schools ,4.4,Bangalore + 16 more,Bangalore,16,Private,11,1k-5k Employees (India),209000,924000,25,10,India,Asia
TOPS ,4,"Delhi,NCT + 26 more",Delhi,27,Private,38,501-1k Employees (India),209000,600000,6,5,India,Asia
Hitachi Consulting ,4,"Dallas,Texas + 9 more",Dallas,10,Private,22,1k-5k Employees (India),209000,1900,0,2,United States of America,Americas
Yodlee ,3.8,"Redwood City,San Francisco + 2 more",Redwood City,3,Private,23,1k-5k Employees (India),209000,1800,54,13,United States of America,Americas
Four Points By Sheraton ,4.5,"Bethesda,Maryland + 28 more",Bethesda,29,,27,501-1k Employees (India),209000,362000,0,3,United States of America,Americas
Buhler ,3.9,"Uzwil,St. Gallen + 19 more",Uzwil,20,Private,162,501-1k Employees (India),209000,1000,0,5,Switzerland,Europe
Go First ,3.3,"Mumbai,Maharashtra + 26 more",Mumbai,27,Public,17,1k-5k Employees (India),209000,1300,17,11,India,Asia
Zimetrics Technologies  ,4.7,"Pune,Maharashtra + 4 more",Pune,5,,7,201-500 Employees (India),209000,287000,7,1,India,Asia
Wolters Kluwer ,3.9,"Alphen Aan Den Rijn,South Holland + 11 more",Alphen Aan Den Rijn,12,,186,1k-5k Employees (India),209000,2000,161,21,Netherlands,Europe
Prime Focus ,3.6,Mumbai + 11 more,Mumbai,11,Public,25,1k-5k Employees (India),512000,614000,14,0,India,Asia
Airtel DTH Services ,4.3,Gurgaon + 75 more,Gurgaon,75,,14,5k-10k Employees (India),208000,999000,0,11,India,Asia
Kellogg Brown and Root ,4.5,"Houston,Texas + 19 more",Houston,20,Public,24,51-200 Employees (India),208000,879000,37,4,United States of America,Americas
Carl Zeiss ,3.8,Stuttgart + 22 more,Stuttgart,22,Private,13,501-1k Employees (India),208000,1300,28,3,Germany,Europe
National Engineering Industries ,4,"Jaipur,Rajasthan + 17 more",Jaipur,18,Private,76,1k-5k Employees (India),208000,1000,0,9,India,Asia
Indian Overseas Bank ,3.8,"Chennai,Tamil Nadu + 56 more",Chennai,57,Private,85,10k-50k Employees (India),208000,929000,0,5,India,Asia
Alicon Castalloy ,3.8,"Pune,Maharashtra + 7 more",Pune,8,Public,32,501-1k Employees (India),208000,914000,0,5,India,Asia
Orix Auto Infrastructure Services ,4.3,"Mumbai,Maharashtra + 17 more",Mumbai,18,Public,27,201-500 Employees (India),208000,650000,0,3,India,Asia
Nilons Enterprises ,4.1,"Pune,Maharashtra + 29 more",Pune,30,Private,60,501-1k Employees (India),208000,758000,0,6,India,Asia
Hettich ,3.8,Kirchlengern + 23 more,Kirchlengern,23,Private,134,201-500 Employees (India),208000,1300,5,7,Germany,Europe
ANAROCK Property Consultants ,3.9,"Mumbai,Maharashtra + 19 more",Mumbai,20,Private,5,1k-5k Employees (India),207000,1400,159,14,India,Asia
Wildcraft ,4.1,Bangalore + 33 more,Bangalore,33,Private,24,1k-5k Employees (India),207000,936000,14,3,India,Asia
Reliance Money ,4.5,"Mumbai,Maharashtra + 42 more",Mumbai,43,Private,16,51-200 Employees (India),207000,747000,0,2,India,Asia
Astral Polytechnik ,4.2,"Ahmedabad,Gujarat + 41 more",Ahmedabad,42,Public,26,501-1k Employees (India),206000,962000,12,9,India,Asia
American Axle & Manufacturing ,4.3,"Detroit,Michigan + 8 more",Detroit,9,Private,28,501-1k Employees (India),206000,846000,0,8,United States of America,Americas
Essilor ,4,Charenton-le-Pont + 31 more,Charenton-le-Pont,31,Private,173,501-1k Employees (India),206000,1100,3,6,France,Europe
Regalix ,3.3,San Mateo + 2 more,San,2,Private,17,1k-5k Employees (India),206000,1500,27,16,Mali,Africa
Netlink Software ,3.7,Madison Heights + 15 more,Madison,15,Private,24,1k-5k Employees (India),206000,1200,24,8,United States of America,Americas
Roche Diagnostics ,3.8,"Basel,Basel City + 25 more",Basel,26,Private,126,201-500 Employees (India),211000,831000,0,5,Switzerland,Europe
MT Educare ,3.5,"Mumbai,Maharashtra + 21 more",Mumbai,22,Public,34,1k-5k Employees (India),205000,720000,5,2,India,Asia
ACG Associated Capsules ,3.9,"Mumbai,Maharashtra + 9 more",Mumbai,10,,58,1k-5k Employees (India),205000,860000,24,5,India,Asia
NTT-Netmagic ,4.2,"Mumbai,Maharashtra + 12 more",Mumbai,13,Private,24,201-500 Employees (India),205000,1400,14,2,India,Asia
Powerica ,4.2,"Mumbai,Maharashtra + 20 more",Mumbai,21,Private,38,501-1k Employees (India),205000,755000,3,2,India,Asia
Owens Corning ,4.1,"Toledo,Ohio + 7 more",Toledo,8,Private,84,1k-5k Employees (India),205000,1100,11,6,United States of America,Americas
Capco Technologies ,3.9,London + 9 more,London,9,Private,24,1k-5k Employees (India),205000,2300,196,29,United Kingdom,Europe
Kaynes Technology ,3.4,Mysore + 9 more,Mysore,9,Private,34,501-1k Employees (India),205000,849000,0,5,India,Asia
Adient ,3.9,"Plymouth,MI + 11 more",Plymouth,12,Private,26,501-1k Employees (India),205000,1400,3,2,United Kingdom,Europe
Health Total  ,3.5,"Mumbai,Maharashtra + 11 more",Mumbai,12,Private,25,11-50 Employees (India),205000,590000,8,3,India,Asia
Writer Corporation ,3.7,"Mumbai,Maharashtra + 35 more",Mumbai,36,Private,69,10k-50k Employees (India),749000,884000,2,4,India,Asia
Madura Micro Finance ,4.2,"Chennai,Tamil Nadu + 63 more",Chennai,64,Private,16,501-1k Employees (India),204000,736000,0,2,India,Asia
Algonomy ,4.2,"Bangalore,Karnataka + 9 more",Bangalore,10,Private,18,201-500 Employees (India),204000,1000,14,5,India,Asia
Harman Finochem ,3.8,"Mumbai,Maharashtra + 8 more",Mumbai,9,Private,15,501-1k Employees (India),204000,1500,11,12,India,Asia
Thryve Digital ,4.3,"Chennai,Tamil Nadu + 2 more",Chennai,3,LLP,6,1k-5k Employees (India),204000,2000,57,18,India,Asia
Boehringer-Ingelheim ,4.1,Ingelheim + 35 more,Ingelheim,35,Private,137,1k-5k Employees (India),204000,927000,2,4,Germany,Europe
Global Indian International School ,4.2,Singapore + 16 more,Singapore,16,Private,14,201-500 Employees (India),204000,604000,33,9,Singapore,Asia
Quinnox ,4.1,"Chicago,Illinois + 4 more",Chicago,5,Private,20,1k-5k Employees (India),204000,2100,35,7,United States of America,Americas
Kennametal ,3.8,"Latrobe,Pennsylvania + 7 more",Latrobe,8,Public,84,1k-5k Employees (India),204000,1200,67,6,United States of America,Americas
LanceSoft ,3.6,Herndon + 16 more,Herndon,16,Private,22,201-500 Employees (India),204000,1500,136,20,United States of America,Americas
AIS Glass Solutions ,3.8,Gurgaon + 25 more,Gurgaon,25,Private,38,51-200 Employees (India),204000,1200,29,20,India,Asia
Hamilton Housewares ,3.9,"Mumbai,Maharashtra + 16 more",Mumbai,17,Private,50,1k-5k Employees (India),204000,1300,19,9,India,Asia
GAVS Technologies ,4.2,"Princeton,New Jersey + 8 more",Princeton,9,Private,24,1k-5k Employees (India),204000,2300,19,15,United States of America,Americas
Seven Hills Hospital ,3.9,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,36,1k-5k Employees (Global),203000,605000,0,2,India,Asia
Mungi Group ,3.8,"Pune,Maharashtra + 3 more",Pune,4,Private,38,201-500 Employees (India),203000,1000,0,7,India,Asia
Rusan Pharma ,3.2,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,28,501-1k Employees (India),203000,1100,9,8,India,Asia
Rane Brake Lining ,4.3,"Chennai,Tamil Nadu + 11 more",Chennai,12,Public,58,201-500 Employees (India),203000,847000,0,8,India,Asia
Gallagher Offshore Support Services ,3.9,Pune + 4 more,Pune,4,Private,16,11-50 Employees (India),203000,1200,0,8,India,Asia
LiquidHub ,3.8,Wayne + 8 more,Wayne,8,Private,21,1k-5k Employees (India),203000,1100,0,9,United States of America,Americas
Dynacons Systems & Solutions ,3.8,"Mumbai,Maharashtra + 41 more",Mumbai,42,Private,27,1k-5k Employees (India),203000,1000,4,11,India,Asia
Sany Heavy Industry ,4,"Beijing,Beijing + 34 more",Beijing,35,Private,33,501-1k Employees (India),203000,1200,0,12,China,Asia
Mothers Recipe ,4.1,"Pune,Maharashtra + 36 more",Pune,37,Private,121,501-1k Employees (India),203000,864000,3,7,India,Asia
TIBCO Software ,4.2,"Palo Alto,California + 7 more",Palo Alto,8,Private,25,1k-5k Employees (India),203000,2600,25,20,Mexico,Americas
Tube Investments of India ,4.2,Chennai + 28 more,Chennai,28,Public,63,1k-5k Employees (India),378000,987000,4,9,India,Asia
Polybond India ,3.9,"Pune,Maharashtra + 6 more",Pune,7,Private,44,1k-5k Employees (India),202000,857000,0,6,India,Asia
Kokuyo Camlin ,3.9,"Mumbai,Maharashtra + 42 more",Mumbai,43,Public,91,1k-5k Employees (India),202000,756000,0,4,India,Asia
IKEA ,4.4,Delft + 13 more,Delft,13,Private,79,10k-50k Employees (India),202000,844000,23,7,Netherlands,Europe
Siemens Healthcare ,4.3,Erlangen + 19 more,Erlangen,19,Private,126,1k-5k Employees (India),202000,2000,0,4,Germany,Europe
Gilbarco Veeder Root ,3.9,Greensboro + 27 more,Greensboro,27,Private,157,1k-5k Employees (India),202000,1300,10,5,United States of America,Americas
Titan Laboratories ,3.8,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,18,201-500 Employees (India),202000,518000,11,3,India,Asia
Luxoft ,4.4,Zug + 10 more,Zug,10,LLP,22,1k-5k Employees (India),202000,1700,220,28,Switzerland,Europe
EMCO ,3.9,"Mumbai,Maharashtra + 23 more",Mumbai,24,Public,58,51-200 Employees (India),201000,483000,0,4,India,Asia
Pepperfry ,3.6,"Mumbai,Maharashtra + 23 more",Mumbai,24,Private,11,201-500 Employees (India),201000,1100,34,9,India,Asia
Nuance Transcription Services ,3.8,"Burlington,Massachusetts + 9 more",Burlington,10,Private,23,1k-5k Employees (India),201000,781000,0,0,Canada,Americas
Indiabulls Real Estate ,4.4,"Mumbai,Maharashtra + 19 more",Mumbai,20,Public,16,501-1k Employees (India),201000,821000,0,0,India,Asia
Walchandnagar Industries ,3.7,"Mumbai,Maharashtra + 10 more",Mumbai,11,Public,114,501-1k Employees (India),201000,844000,0,2,India,Asia
Uae Exchange & Financial Services ,4,Abu Dhabi + 67 more,Abu,67,Private,42,501-1k Employees (India),201000,707000,0,2,India,Asia
Quantiphi Analytics Solutions ,3.7,"Mumbai,Maharashtra + 5 more",Mumbai,6,Private,9,1k-5k Employees (India),201000,2700,91,41,India,Asia
Polyplastics Industries (I) ,3.9,Tokyo + 12 more,Tokyo,12,Private,52,1k-5k Employees (India),200000,976000,0,9,Japan,Asia
IMS People ,3.7,Ahmedabad + 16 more,Ahmedabad,16,Private,16,501-1k Employees (India),200000,1300,11,12,India,Asia
Stryker ,4.3,"Kalamazoo,Michigan + 15 more",Kalamazoo,16,Public,81,1k-5k Employees (India),200000,1600,6,19,United States of America,Americas
B2x Service Solutions ,3.4,"Munich,Bavaria + 30 more",Munich,31,Private,15,201-500 Employees (India),200000,470000,0,0,Germany,Europe
Joyalukkas ,4.1,Dubai + 49 more,Dubai,49,Private,35,201-500 Employees (India),200000,597000,0,5,United Arab Emirates,Asia
Origo Commodities ,3.9,"Gurgaon,Haryana + 42 more",Gurgaon,43,Private,12,1k-5k Employees (India),200000,741000,1,7,India,Asia
Axa XL ,3.8,Hamilton + 4 more,Hamilton,4,,36,1k-5k Employees (India),200000,1700,23,13,Bermuda,Americas
Ruby Hall Clinic ,3.9,Pune + 5 more,Pune,5,NGO/NPO,63,201-500 Employees (India),199000,610000,0,3,India,Asia
Lotus Herbals ,4.4,"Mumbai,Maharashtra + 33 more",Mumbai,34,Private,29,1k-5k Employees (India),199000,762000,15,11,India,Asia
Ciena ,4.3,"Hanover,Maryland + 9 more",Hanover,10,Private,30,1k-5k Employees (India),199000,2100,98,11,United States of America,Americas
Nesma & Partners ,4.5,Jeddah + 15 more,Jeddah,15,Private,41,51-200 Employees (India),199000,349000,0,3,Saudi Arabia,Asia
Nitco ,4.3,"Mumbai,Maharashtra + 36 more",Mumbai,37,Public,69,1k-5k Employees (India),199000,986000,0,3,India,Asia
National Stock Exchange of India ,3.6,"Mumbai,Maharashtra + 23 more",Mumbai,24,Private,30,501-1k Employees (India),199000,1900,1,12,India,Asia
NortonLifeLock's  ,4.2,"Mountain View,California + 3 more",Mountain View,4,Private,40,501-1k Employees (India),505000,1900,1,12,United States of America,Americas
GSP Crop Science ,3.9,"Ahmedabad,Gujarat + 24 more",Ahmedabad,25,Private,37,501-1k Employees (India),198000,934000,6,5,India,Asia
Clariant Chemicals ,4.3,"Muttenz,Bael-Country + 15 more",Muttenz,16,Public,27,501-1k Employees (India),198000,1100,8,6,Switzerland,Europe
Entrata India ,4.3,"Provo,Utah",Provo,#VALUE!,Private,19,501-1k Employees (India),198000,1800,4,8,United States of America,Americas
Applied Materials ,4.3,"Santa Clara,California + 9 more",Santa Clara,10,Private,20,1k-5k Employees (India),198000,2100,77,30,Cuba,Americas
Axtria ,3.6,"Berkeley Heights,New Jersey + 5 more",Berkeley Heights,6,Private,12,501-1k Employees (India),198000,2700,47,35,United States of America,Americas
Mahindra Susten ,4.3,"Mumbai,Maharashtra + 23 more",Mumbai,24,Private,12,501-1k Employees (India),198000,814000,0,4,India,Asia
Religare ,3.9,"New Delhi,Delhi + 55 more",New Delhi,56,Public,38,10k-50k Employees (India),1600,1200,19,5,India,Asia
Mukand ,3.8,"Mumbai,Maharashtra + 12 more",Mumbai,13,Public,85,1k-5k Employees (India),295000,748000,0,3,India,Asia
Magma HDI General Insurance ,4.1,"Mumbai,Maharashtra + 61 more",Mumbai,62,JV,10,1k-5k Employees (India),197000,1100,10,8,India,Asia
Bsh Household Appliances Manufacturing ,4.2,"Munich,Munich + 27 more",Munich,28,,55,1k-5k Employees (India),197000,1300,0,6,Germany,Europe
Sun Pharma Laboratories ,4.2,"Mumbai,Maharashtra + 32 more",Mumbai,33,,39,10k-50k Employees (India),197000,841000,0,11,India,Asia
Hyundai Heavy Industries ,4.4,Ulsan + 21 more,Ulsan,21,Public,50,201-500 Employees (India),197000,346000,0,4,South Korea,Asia
People Tech Group ,3.5,Redmond + 4 more,Redmond,4,Private,16,1k-5k Employees (India),197000,1800,96,11,United States of America,Americas
Moody's Analytics ,3.9,"New York,New York + 5 more",New York,6,Private,15,501-1k Employees (India),197000,2100,27,9,United States of America,Americas
Silver Touch Technologies ,3.7,"Ahmedabad,Gujarat + 21 more",Ahmedabad,22,Public,30,1k-5k Employees (India),197000,1600,4,4,India,Asia
Raptakos Brett and Company ,3.6,"Mumbai,Maharashtra + 33 more",Mumbai,34,Public,92,201-500 Employees (India),197000,982000,2,4,India,Asia
Tommy Hilfiger ,4.3,"Amsterdam,North Holland + 35 more",Amsterdam,36,Private,37,1k-5k Employees (India),197000,854000,0,4,Netherlands,Europe
Majorel ,3.9,Luxembourg + 5 more,Luxembourg,5,JV,3,201-500 Employees (India),197000,1100,24,17,Luxembourg,Europe
Krsnaa Diagnostics ,3.7,"Pune,Maharashtra + 34 more",Pune,35,Private,12,51-200 Employees (India),197000,680000,20,6,India,Asia
Vulcan Express ,4.1,Gurgaon + 39 more,Gurgaon,39,Private,9,1-10 Employees (India),197000,260000,0,1,India,Asia
Etisalat ,3.6,"Abu Dhabi,Abu Dhabi + 10 more",Abu Dhabi,11,Public,46,1k-5k Employees (India),233000,898000,0,5,United Arab Emirates,Asia
McAfee ,4,"Santa Clara,California + 7 more",Santa Clara,8,Private,35,1k-5k Employees (India),203000,2500,58,14,Cuba,Americas
National Organic Chemical Industries ,4.1,"Mumbai,Maharashtra + 10 more",Mumbai,11,Public,47,51-200 Employees (India),196000,1100,0,9,India,Asia
Aegon Life Insurance ,3.9,Mumbai + 33 more,Mumbai,33,Private,15,1k-5k Employees (India),196000,1100,0,3,India,Asia
Mavenir Systems ,3.9,"Richardson,Texas + 10 more",Richardson,11,Private,17,1k-5k Employees (India),196000,2000,59,18,United States of America,Americas
Allanasons ,3.6,Mumbai + 20 more,Mumbai,20,Private,157,501-1k Employees (India),196000,685000,11,7,India,Asia
Asian Granito India ,3.9,"Ahmedabad,Gujrat + 36 more",Ahmedabad,37,Public,22,1k-5k Employees (India),196000,1200,5,3,India,Asia
Konecranes ,4,Hyvinkää + 10 more,Hyvinkää,10,Private,47,501-1k Employees (India),195000,1200,17,9,Finland,Europe
Jeeves Consumer Services ,4,"Bangalore,Karnataka + 37 more",Bangalore,38,Private,15,5k-10k Employees (India),195000,616000,0,11,India,Asia
Western Refrigeration ,4.3,"Mumbai,Maharashtra + 25 more",Mumbai,26,Private,50,501-1k Employees (India),195000,939000,3,8,India,Asia
REPCO HOME FINANCE ,3.8,Chennai + 62 more,Chennai,62,Public,22,501-1k Employees (India),195000,749000,0,7,India,Asia
Harjai Computers ,4.4,"Mumbai,Maharashtra + 6 more",Mumbai,7,Private,27,201-500 Employees (India),195000,729000,7,5,India,Asia
TNT Express ,4.6,"Hoofddorp,North Holand + 30 more",Hoofddorp,31,Private,76,501-1k Employees (India),194000,366000,0,3,Netherlands,Europe
Invesco ,4.1,"Atlanta,Atlanta + 4 more",Atlanta,5,Private,87,1k-5k Employees (India),194000,1700,68,12,United States of America,Americas
Lambda Therapeutic Research ,3.8,Ahmedabad + 4 more,Ahmedabad,4,Private,24,501-1k Employees (India),194000,902000,0,3,India,Asia
Dr. Agarwal's Eye Hospital ,4.1,"Chennai,Tamil Nadu + 28 more",Chennai,29,Public,65,1k-5k Employees (India),194000,595000,26,5,India,Asia
A2Z Group ,4,Gurgaon + 35 more,Gurgaon,35,Private,20,51-200 Employees (India),329000,446000,0,3,India,Asia
Sapiens ,3.8,"Holon,Tel Aviv + 2 more",Holon,3,Private,40,1k-5k Employees (India),193000,2400,40,15,Israel,Asia
Micro Focus ,4.1,"Newbury,West Berkshire + 5 more",Newbury,6,Private,46,1k-5k Employees (India),193000,2700,8,10,United Kingdom,Europe
Ergode IT Services ,4,"Mumbai,Maharashtra + 3 more",Mumbai,4,Private,16,51-200 Employees (India),193000,858000,53,5,India,Asia
National Payments Corporation of India ,3.4,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,17,501-1k Employees (India),193000,1400,21,7,India,Asia
Allianz Partners ,4,Saint-Ouen + 8 more,Saint-Ouen,8,,8,501-1k Employees (India),193000,1000,0,7,France,Europe
Mettler-Toledo ,3.5,"Greifensee,Zurich + 17 more",Greifensee,18,Private,76,501-1k Employees (India),193000,1100,5,7,Switzerland,Europe
Capital small Finance bank ,4.1,Jalandhar + 38 more,Jalandhar,38,,23,1k-5k Employees (India),193000,995000,5,4,India,Asia
Indian Bank ,3.7,Chennai + 48 more,Chennai,48,Private,115,10k-50k Employees (India),195000,946000,0,5,India,Asia
Amoli Organics ,3.9,"Mumbai,Maharashtra + 7 more",Mumbai,8,,31,1k-5k Employees (India),192000,1200,13,2,India,Asia
Frigorifico Allana ,4.3,"Mumbai,Maharashtra + 17 more",Mumbai,18,Private,36,1k-5k Employees (India),192000,689000,0,2,India,Asia
