,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
122,Cummins ,4.3,"Columbus,Indiana + 81 more",Columbus,82,,60,10k-50k Employees (India),3000,10700,10,92,United States of America,Americas,,
123,Godrej & Boyce Manufacturing ,3.9,"Mumbai,Maharashtra + 116 more",Mumbai,117,Private,125,10k-50k Employees (India),2800,14400,20,73,India,Asia,20.593684,78.96288
124,IQVIA ,4.2,Durham + 38 more,Durham,38,Partnership,40,10k-50k Employees (India),2500,18600,19,161,United States of America,Americas,,
125,CBRE ,4.3,"Los Angeles,California + 53 more",Los Angeles,54,Private,116,10k-50k Employees (India),2300,11400,136,81,United States of America,Americas,,
126,Dominos Pizza ,4.1,"Ypsilanti,Michigan + 203 more",Ypsilanti,204,Public,62,1k-5k Employees (India),2300,4300,1,35,United States of America,Americas,,
127,Axis Direct ,4.0,"San Mateo,California + 266 more",San Mateo,267,Private,11,1k-5k Employees (India),2400,8400,44,42,Philippines,Asia,12.879721,121.774017
128,Royal Enfield ,4.2,"Gurgaon/Gurugram,Haryana + 231 more",Gurgaon,232,Private,67,1k-5k Employees (India),2300,11800,11,61,India,Asia,20.593684,78.96288
129,Equitas Small Finance Bank ,4.2,"Chennai,Tamil Nadu + 285 more",Chennai,286,Private,15,10k-50k Employees (India),2300,11000,18,62,India,Asia,20.593684,78.96288
130,Nagarjuna Construction Company ,4.1,"Hyderabad/Secunderabad,Telangana + 178 more",Secunderabad,179,Public,24,1k-5k Employees (India),2400,9600,5,110,India,Asia,20.593684,78.96288
131,Bajaj Auto ,4.0,"Pune,Maharashtra + 208 more",Pune,209,Public,77,5k-10k Employees (India),2300,8900,0,97,India,Asia,20.593684,78.96288
132, Wipro Consumer Care & Lighting ,3.9,"Bangalore/Bengaluru,Karnataka + 71 more",Bangalore,72,Private,77,1k-5k Employees (India),29200,1800,15,26,India,Asia,20.593684,78.96288
133,JBM Group ,4.0,"Gurgaon/Gurugram,Haryana + 73 more",Gurgaon,74,Public,39,10k-50k Employees (India),2800,9800,29,103,India,Asia,20.593684,78.96288
